,artist,title,albumart,time,channel
45,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493374648.2788134,
46,Swanky Tunes & Going Deeper,Far From Home,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493374888.3606436,
47,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375068.284101,
48,#SubliminalSessions,Tues 8pET @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375248.2975426,
49,Jauz,The Game,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375308.3297007,
50,Wuki,Let Me Go (feat. Prxzm),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375548.305535,
51,Twinz Beatz,Kronos,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375728.286584,
52,Claptone/George Kranz,The Drums (Din Daa Daa),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493375968.3081484,
53,Matroda,Get Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376148.2931776,
54,Pierce Fulton,Life In Letters,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376328.315349,
55,Electric Area,fb.com/sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376508.2935915,
56,Tom Staar/Rob & Jack,Sunshine,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376628.2867572,
57,MAKJ/Max Styler/Elayna Boynton,Knock Me Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376748.354301,
58,Sunnery James & Ryan Marciano,Horny Bounce,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493376928.3580544,
59,#TheCookout,Tues 9pET @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493377108.2927535,
60,Jay Hardway,Scio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493377168.2902071,
61,Cut Snake,Echo,http://www.siriusxm.com/albumart/Live/1100/cutsnake_564B220F_m.jpg,1493377348.314941,
62,The Chainsmokers,It Won't Kill Ya (feat. Louane),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493377588.2959054,
63,Boombox Cartel,Alamo (feat. Shoffy),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493377828.2853599,
64,Busy P/Mayer Hawthorne,Genie (KDA Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493378068.2856257,
65,Yellow Claw,Open (ft. Moksi & John Fraser),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493378248.2960234,
66,Loopers,Tell Me,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493378488.3222046,
67,Jaded,In The Morning,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493378728.3100913,
68,Flux Pavilion/Cammie Robinson,Pull The Trigger,http://www.siriusxm.com/albumart/Live/1100/fluxpavilion_58B7D968_m.jpg,1493378908.3049386,
69,Chris Lake,I Want You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493379148.3003776,
70,Dash Berlin/Emma Hewitt,Waiting [W&W Remix],http://www.siriusxm.com/albumart/Live/1130/dashberlinem_5406E94E_m.jpg,1493379388.3138034,
71,Mija,Secrets,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493379628.3128815,
72,Deorro/Teemu,Turn Back Time,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493379928.318658,
73,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493380108.294236,
74,Electric Area,fb.com/sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493380288.2941873,
75,KURA/Melody Noel,Paper Roses,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493380348.2762175,
76,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493380528.2988904,
77,HI-LO,Ooh La La,http://www.siriusxm.com/albumart/Live/1130/hilo_5667EDFF_m.jpg,1493380768.2866006,
78,@PrettyLights @sxmElectro,Tha Hot Sh*t,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493381008.3139565,
79,@NGHTMRE @SlanderOfficial,#GudVibrationsRadio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493384908.2926185,
80,Tiesto/Sevenn,BOOM,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493388088.312008,
81,Todd Terje,Snooze 4 Love (Dixon Remix),http://www.siriusxm.com/albumart/Live/1400/toddterje_57FF730B_m.jpg,1493388448.2839756,
82,John de Sohn+Kristin Amparo,Dance Our Tears Away,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493388688.374308,
83,W&W,Caribbean Rave,http://www.siriusxm.com/albumart/Live/1400/ww_5824744B_m.jpg,1493388868.3204613,
84,Lucas & Steve,Calling On You (ft. Jake Reese),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493388988.2919312,
85,Armand Van Helden,Spidey Sensei (feat. ML  SPINNIN),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493390008.37845,
86,Just Kiddin,Won't Let You Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493390368.330297,
87,Mikey B/Tiesto,Stay A While,http://www.siriusxm.com/albumart/Live/1430/mikeybtiesto_5505542C_m.jpg,1493390428.3019598,
88,Third Party,Live Forever,http://www.siriusxm.com/albumart/Live/1430/thirdparty_586E54A7_m.jpg,1493390968.426942,
89,@Hardwell @sxmElectro,#HOA314 #TiestoSXM,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493391868.3270295,
90,Purple Disco Machine,Walls,http://www.siriusxm.com/albumart/Live/1530/purplediscom_57FF6553_m.jpg,1493394988.315773,
91,@SJ_RM @sxmElectro,#SBNradio #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493395408.3359234,
92,@Tritonal @sxmElectro,#Tritonia #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493399008.3177776,
93,@atbandre @sxmElectro,#TheCookout #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493402848.260564,
94,@djMarkKnight @sxmElectro,#ToolroomRadio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493442214.0544493,
95,@PrettyLights @sxmElectro,Tha Hot Sh*t,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493483440.863521,Electric Area
96,W&W,Invasion [ASoT 550 Anthem],http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493485241.2801025,Electric Area
97,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493485421.1478686,Electric Area
98,@WandWmusic @sxmElectro,#Mainstage 357 #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493485601.1560955,Electric Area
99,@BorgeousMusic @sxmElectro,House Of Borgeous,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493494157.303796,Electric Area
100,@JoshWink1 #ProfoundSounds,Tribehouse-DÃ¼sseldorf,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493700328.0224295,Electric Area
101,@GorgonCity @sxmElectro,#KingdomRadio #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493701520.7738645,Electric Area
102,@Eats_Everything @sxmElectro,#ediblebEats #ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493705000.7791991,Electric Area
103,Jauz,The Game,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493708480.7362616,Electric Area
104,Cut Snake,Santa Monica,http://www.siriusxm.com/albumart/Live/0700/cutsnake_56481E87_m.jpg,1493708720.7455304,Electric Area
105,Deeper Connection,#ElectricArea,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493708900.7807367,Electric Area
106,Pierce Fulton,Life In Letters,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493708960.7393296,Electric Area
107,Tom Staar/Rob & Jack,Sunshine,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493709140.7415442,Electric Area
108,Odesza,Late Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493709380.7667,Electric Area
109,Wuki,Let Me Go (feat. Prxzm),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493709560.7235215,Electric Area
110,Laidback Luke/GTA,The Chase (feat. Aruna),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493709740.73951,Electric Area
