,artist,title,albumart,time,channel
43,Audien/Max,One More Weekend,http://www.siriusxm.com/albumart/Live/0630/audienmax_58F75B80_m.jpg,1493362348.288619,
44,Axwell/\\Ingrosso/Kid Ink,I Love You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493362528.3555818,
45,Tiesto/Matthew Koma,Wasted-Ummet Ozcan Remix,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493362768.2536945,
46,Almand,Don't Manipulate (Slomo Remix),http://www.siriusxm.com/albumart/Live/0700/almand_58F719CE_m.jpg,1493363068.2514167,
47,Yellow Claw/DJ Snake/Elliphant,Good Day,http://www.siriusxm.com/albumart/Live/0700/yellowclawdj_58B69C20_m.jpg,1493363248.2288144,
48,Morgan Page feat. Lissie,Don't Give Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493363548.2585392,
49,Don Diablo/Marnik,Children Of A Miracle,http://www.siriusxm.com/albumart/Live/0700/dondiablomar_58DC4463_m.jpg,1493363668.4423213,
50,SiriusXM Chill,Ch53 Downtempo/Deep House,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493363848.2678394,
51,Tritonal,Anchor,http://www.siriusxm.com/albumart/Live/0700/tritonal_58C8154A_m.jpg,1493363908.2498102,
52,Disco Killerz/Liquid Todd,In The Music,http://www.siriusxm.com/albumart/Live/0700/discokillerz_589A2D7C_m.jpg,1493364208.2748373,
53,Matoma,False Alarm-Hook N Sling Mix,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493364328.2805426,
54,Knife Party,Begin Again,http://www.siriusxm.com/albumart/Live/0730/knifeparty_58C720DE_m.jpg,1493364628.4476488,
55,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/0730/kungsephemer_58E2DF4C_m.jpg,1493364808.263317,
56,@sxmElectro #bpm,New EDM on bpm,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493364988.2594247,
