,channel,artist,title,albumart,time
710,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527175815.3740573
711,Alt Nation,Alice Merton,Lash Out,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527175875.3499892
712,Alt Nation,Green Day,American Idiot,http://www.siriusxm.com/albumart/Live/1530/greenday_5B06AA4A_m.jpg,1527176055.3597198
713,Alt Nation,Portugal. The Man,So Young,http://www.siriusxm.com/albumart/Live/1530/portugalthem_598E191E_m.jpg,1527176235.385309
714,Alt Nation,The Killers,Run For Cover,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527176475.279399
715,Alt Nation,Mikky Ekko,What's It Like Now,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527176715.31709
716,Alt Nation,Of Monsters & Men,Little Talks,http://www.siriusxm.com/albumart/Live/1530/ofmonstersme_5A7D59D1_m.jpg,1527176895.3356447
717,Alt Nation,@altnation,fb.com/altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527177135.3660047
718,Alt Nation,The Neighbourhood,Scary Love,http://www.siriusxm.com/albumart/Live/1530/theneighbour_5A97779B_m.jpg,1527177195.332075
719,Alt Nation,Young the Giant,Something To Believe In,http://www.siriusxm.com/albumart/Live/1530/youngthegian_57B34396_m.jpg,1527177435.3122823
720,Alt Nation,AJR,Burn The House Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527177675.3767064
721,Alt Nation,Thursday DL,w/ @kadeshow,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527177855.3235655
722,Alt Nation,The Revivalists,Wish I Knew You,http://www.siriusxm.com/albumart/Live/1600/therevivalis_5983B23C_m.jpg,1527177915.3336804
723,Alt Nation,Silversun Pickups,Lazy Eye,http://www.siriusxm.com/albumart/Live/1600/silversunpic_5B06E299_m.jpg,1527178215.3061323
724,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527178515.3040154
725,Alt Nation,NoMBe/Big Data,Drama,http://www.siriusxm.com/albumart/Live/1600/nombebigdata_5AA3EB96_m.jpg,1527178635.328223
726,Alt Nation,Mumford & Sons,I Will Wait,http://www.siriusxm.com/albumart/Live/1600/mumfordsons_547D44E1_m.jpg,1527178755.3307793
727,Alt Nation,#PopRocks101,Memorial Day Weekend,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527178995.2876112
728,Alt Nation,Robert DeLong/K.Flay,Favorite Color Is Blue,http://www.siriusxm.com/albumart/Live/1600/robertdelong_5AA3E47C_m.jpg,1527179055.3760538
729,Alt Nation,Franz Ferdinand,Take Me Out,http://www.siriusxm.com/albumart/Live/1600/franzferdina_5303A114_m.jpg,1527179235.3096972
730,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527179475.3116894
731,Alt Nation,Morgxn,Carry The Weight,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527179535.3001235
732,Alt Nation,Foster The People,Sit Next To Me,http://www.siriusxm.com/albumart/Live/1630/fosterthepeo_597F7564_m.jpg,1527179835.3508608
733,Alt Nation,Saint Motel,My Type,http://www.siriusxm.com/albumart/Live/1630/saintmotel_58C38897_m.jpg,1527180015.3606575
734,Alt Nation,The Wombats,Turn,http://www.siriusxm.com/albumart/Live/1630/thewombats_5A979EF7_m.jpg,1527180255.2955
